docname,topic,proportion
gpt.txt:596,000,1.0
gpt.txt:631,003,1.0
gpt.txt:666,000,0.427757
gpt.txt:666,001,0.31632
gpt.txt:666,002,0.255924
gpt.txt:21,012,1.0
gpt.txt:56,001,1.0
gpt.txt:91,000,0.427757
gpt.txt:91,001,0.31632
gpt.txt:91,002,0.255924
gpt.txt:126,010,1.0
gpt.txt:161,000,0.427757
gpt.txt:161,001,0.31632
gpt.txt:161,002,0.255924
gpt.txt:196,000,0.427757
gpt.txt:196,001,0.31632
gpt.txt:196,002,0.255924
gpt.txt:231,020,1.0
gpt.txt:266,000,0.427757
gpt.txt:266,001,0.31632
gpt.txt:266,002,0.255924
gpt.txt:301,003,1.0
gpt.txt:336,000,0.427757
gpt.txt:336,001,0.31632
gpt.txt:336,002,0.255924
gpt.txt:357,000,0.427757
gpt.txt:357,001,0.31632
gpt.txt:357,002,0.255924
gpt.txt:392,010,1.0
gpt.txt:427,000,0.427757
gpt.txt:427,001,0.31632
gpt.txt:427,002,0.255924
gpt.txt:462,000,0.427757
gpt.txt:462,001,0.31632
gpt.txt:462,002,0.255924
gpt.txt:497,000,1.0
gpt.txt:532,002,1.0
gpt.txt:567,000,1.0
gpt.txt:602,000,1.0
gpt.txt:637,009,1.0
gpt.txt:672,000,0.427757
gpt.txt:672,001,0.31632
gpt.txt:672,002,0.255924
gpt.txt:24,017,1.0
gpt.txt:59,000,0.427757
gpt.txt:59,001,0.31632
gpt.txt:59,002,0.255924
gpt.txt:94,000,0.427757
gpt.txt:94,001,0.31632
gpt.txt:94,002,0.255924
gpt.txt:129,010,1.0
gpt.txt:164,000,0.427757
gpt.txt:164,001,0.31632
gpt.txt:164,002,0.255924
gpt.txt:199,002,1.0
gpt.txt:234,020,1.0
gpt.txt:269,000,1.0
gpt.txt:304,004,1.0
gpt.txt:339,010,1.0
gpt.txt:360,000,0.427757
gpt.txt:360,001,0.31632
gpt.txt:360,002,0.255924
gpt.txt:395,005,1.0
gpt.txt:430,003,1.0
gpt.txt:465,001,1.0
gpt.txt:500,017,1.0
gpt.txt:535,000,0.427757
gpt.txt:535,001,0.31632
gpt.txt:535,002,0.255924
gpt.txt:570,002,1.0
gpt.txt:605,007,1.0
gpt.txt:640,009,1.0
gpt.txt:675,000,0.427757
gpt.txt:675,001,0.31632
gpt.txt:675,002,0.255924
gpt.txt:10,009,1.0
gpt.txt:45,009,1.0
gpt.txt:80,010,1.0
gpt.txt:115,000,0.427757
gpt.txt:115,001,0.31632
gpt.txt:115,002,0.255924
gpt.txt:150,000,0.427757
gpt.txt:150,001,0.31632
gpt.txt:150,002,0.255924
gpt.txt:185,014,1.0
gpt.txt:220,019,1.0
gpt.txt:255,000,0.427757
gpt.txt:255,001,0.31632
gpt.txt:255,002,0.255924
gpt.txt:290,003,1.0
gpt.txt:325,010,1.0
gpt.txt:381,000,0.427757
gpt.txt:381,001,0.31632
gpt.txt:381,002,0.255924
gpt.txt:416,000,1.0
gpt.txt:451,000,0.427757
gpt.txt:451,001,0.31632
gpt.txt:451,002,0.255924
gpt.txt:486,013,1.0
gpt.txt:521,000,0.427757
gpt.txt:521,001,0.31632
gpt.txt:521,002,0.255924
gpt.txt:556,020,1.0
gpt.txt:591,003,1.0
gpt.txt:626,008,1.0
gpt.txt:661,019,1.0
gpt.txt:696,002,1.0
gpt.txt:33,000,0.427757
gpt.txt:33,001,0.31632
gpt.txt:33,002,0.255924
gpt.txt:68,000,0.427757
gpt.txt:68,001,0.31632
gpt.txt:68,002,0.255924
gpt.txt:103,000,0.427757
gpt.txt:103,001,0.31632
gpt.txt:103,002,0.255924
gpt.txt:138,000,1.0
gpt.txt:173,000,0.427757
gpt.txt:173,001,0.31632
gpt.txt:173,002,0.255924
gpt.txt:208,000,0.427757
gpt.txt:208,001,0.31632
gpt.txt:208,002,0.255924
gpt.txt:243,015,1.0
gpt.txt:278,000,0.427757
gpt.txt:278,001,0.31632
gpt.txt:278,002,0.255924
gpt.txt:313,009,1.0
gpt.txt:348,000,0.427757
gpt.txt:348,001,0.31632
gpt.txt:348,002,0.255924
gpt.txt:369,016,1.0
gpt.txt:404,000,0.427757
gpt.txt:404,001,0.31632
gpt.txt:404,002,0.255924
gpt.txt:439,000,0.427757
gpt.txt:439,001,0.31632
gpt.txt:439,002,0.255924
gpt.txt:474,000,0.427757
gpt.txt:474,001,0.31632
gpt.txt:474,002,0.255924
gpt.txt:509,006,1.0
gpt.txt:544,024,1.0
gpt.txt:579,006,1.0
gpt.txt:614,005,1.0
gpt.txt:649,007,1.0
gpt.txt:684,000,1.0
gpt.txt:23,009,1.0
gpt.txt:58,017,1.0
gpt.txt:93,000,0.427757
gpt.txt:93,001,0.31632
gpt.txt:93,002,0.255924
gpt.txt:128,010,1.0
