docname,topic,proportion
gpt.txt:148,000,0.427757
gpt.txt:148,001,0.31632
gpt.txt:148,002,0.255924
gpt.txt:183,014,1.0
gpt.txt:218,017,1.0
gpt.txt:253,019,1.0
gpt.txt:288,000,0.427757
gpt.txt:288,001,0.31632
gpt.txt:288,002,0.255924
gpt.txt:323,000,0.427757
gpt.txt:323,001,0.31632
gpt.txt:323,002,0.255924
gpt.txt:379,000,0.427757
gpt.txt:379,001,0.31632
gpt.txt:379,002,0.255924
gpt.txt:414,000,1.0
gpt.txt:449,018,1.0
gpt.txt:484,008,1.0
gpt.txt:519,000,0.427757
gpt.txt:519,001,0.31632
gpt.txt:519,002,0.255924
gpt.txt:554,000,0.427757
gpt.txt:554,001,0.31632
gpt.txt:554,002,0.255924
gpt.txt:589,020,1.0
gpt.txt:624,000,0.427757
gpt.txt:624,001,0.31632
gpt.txt:624,002,0.255924
gpt.txt:659,001,1.0
gpt.txt:694,002,1.0
gpt.txt:9,001,1.0
gpt.txt:44,009,1.0
gpt.txt:79,016,1.0
gpt.txt:114,000,1.0
gpt.txt:149,000,0.427757
gpt.txt:149,001,0.31632
gpt.txt:149,002,0.255924
gpt.txt:184,014,1.0
gpt.txt:219,000,0.427757
gpt.txt:219,001,0.31632
gpt.txt:219,002,0.255924
gpt.txt:254,004,1.0
gpt.txt:289,003,1.0
gpt.txt:324,000,0.427757
gpt.txt:324,001,0.31632
gpt.txt:324,002,0.255924
gpt.txt:380,000,0.427757
gpt.txt:380,001,0.31632
gpt.txt:380,002,0.255924
gpt.txt:415,000,1.0
gpt.txt:450,018,1.0
gpt.txt:485,000,0.427757
gpt.txt:485,001,0.31632
gpt.txt:485,002,0.255924
gpt.txt:520,000,0.427757
gpt.txt:520,001,0.31632
gpt.txt:520,002,0.255924
gpt.txt:555,000,0.427757
gpt.txt:555,001,0.31632
gpt.txt:555,002,0.255924
gpt.txt:590,014,1.0
gpt.txt:625,002,1.0
gpt.txt:660,001,1.0
gpt.txt:695,002,1.0
gpt.txt:4,006,1.0
gpt.txt:39,000,0.427757
gpt.txt:39,001,0.31632
gpt.txt:39,002,0.255924
gpt.txt:74,010,1.0
gpt.txt:109,014,1.0
gpt.txt:144,000,0.427757
gpt.txt:144,001,0.31632
gpt.txt:144,002,0.255924
gpt.txt:179,014,1.0
gpt.txt:214,001,1.0
gpt.txt:249,011,1.0
gpt.txt:284,007,1.0
gpt.txt:319,024,1.0
gpt.txt:354,010,1.0
gpt.txt:375,001,1.0
gpt.txt:410,000,1.0
gpt.txt:445,003,1.0
gpt.txt:480,000,0.427757
gpt.txt:480,001,0.31632
gpt.txt:480,002,0.255924
gpt.txt:515,006,1.0
gpt.txt:550,000,0.427757
gpt.txt:550,001,0.31632
gpt.txt:550,002,0.255924
gpt.txt:585,000,0.427757
gpt.txt:585,001,0.31632
gpt.txt:585,002,0.255924
gpt.txt:620,000,0.427757
gpt.txt:620,001,0.31632
gpt.txt:620,002,0.255924
gpt.txt:655,019,1.0
gpt.txt:690,006,1.0
gpt.txt:29,000,0.427757
gpt.txt:29,001,0.31632
gpt.txt:29,002,0.255924
gpt.txt:64,001,1.0
gpt.txt:99,010,1.0
gpt.txt:134,000,0.427757
gpt.txt:134,001,0.31632
gpt.txt:134,002,0.255924
gpt.txt:169,012,1.0
gpt.txt:204,000,0.427757
gpt.txt:204,001,0.31632
gpt.txt:204,002,0.255924
gpt.txt:239,021,1.0
gpt.txt:274,000,0.427757
gpt.txt:274,001,0.31632
gpt.txt:274,002,0.255924
gpt.txt:309,002,1.0
gpt.txt:344,000,0.427757
gpt.txt:344,001,0.31632
gpt.txt:344,002,0.255924
gpt.txt:365,002,1.0
gpt.txt:400,004,1.0
gpt.txt:435,014,1.0
gpt.txt:470,000,0.427757
gpt.txt:470,001,0.31632
gpt.txt:470,002,0.255924
gpt.txt:505,019,1.0
gpt.txt:540,010,1.0
gpt.txt:575,006,1.0
gpt.txt:610,017,1.0
gpt.txt:645,012,1.0
gpt.txt:680,001,1.0
gpt.txt:27,000,0.427757
gpt.txt:27,001,0.31632
gpt.txt:27,002,0.255924
gpt.txt:62,000,0.427757
gpt.txt:62,001,0.31632
gpt.txt:62,002,0.255924
gpt.txt:97,000,0.427757
gpt.txt:97,001,0.31632
gpt.txt:97,002,0.255924
gpt.txt:132,000,0.427757
gpt.txt:132,001,0.31632
gpt.txt:132,002,0.255924
gpt.txt:167,003,1.0
gpt.txt:202,007,1.0
gpt.txt:237,000,0.427757
gpt.txt:237,001,0.31632
gpt.txt:237,002,0.255924
gpt.txt:272,010,1.0
gpt.txt:307,003,1.0
gpt.txt:342,005,1.0
gpt.txt:363,001,1.0
gpt.txt:398,019,1.0
gpt.txt:433,000,0.427757
gpt.txt:433,001,0.31632
gpt.txt:433,002,0.255924
gpt.txt:468,000,0.427757
gpt.txt:468,001,0.31632
gpt.txt:468,002,0.255924
gpt.txt:503,005,1.0
gpt.txt:538,001,1.0
gpt.txt:573,005,1.0
gpt.txt:608,012,1.0
gpt.txt:643,009,1.0
gpt.txt:678,000,0.427757
gpt.txt:678,001,0.31632
gpt.txt:678,002,0.255924
gpt.txt:17,000,0.427757
gpt.txt:17,001,0.31632
gpt.txt:17,002,0.255924
gpt.txt:52,000,0.427757
gpt.txt:52,001,0.31632
gpt.txt:52,002,0.255924
gpt.txt:87,002,1.0
gpt.txt:122,006,1.0
gpt.txt:157,021,1.0
gpt.txt:192,000,1.0
gpt.txt:227,000,1.0
gpt.txt:262,003,1.0
gpt.txt:297,000,1.0
gpt.txt:332,000,0.427757
gpt.txt:332,001,0.31632
gpt.txt:332,002,0.255924
gpt.txt:388,003,1.0
gpt.txt:423,000,0.427757
gpt.txt:423,001,0.31632
gpt.txt:423,002,0.255924
gpt.txt:458,015,1.0
gpt.txt:493,009,1.0
gpt.txt:528,011,1.0
gpt.txt:563,000,0.427757
gpt.txt:563,001,0.31632
gpt.txt:563,002,0.255924
gpt.txt:598,000,1.0
gpt.txt:633,009,1.0
gpt.txt:668,000,0.427757
gpt.txt:668,001,0.31632
gpt.txt:668,002,0.255924
gpt.txt:12,009,1.0
gpt.txt:47,019,1.0
gpt.txt:82,002,1.0
gpt.txt:117,006,1.0
gpt.txt:152,000,0.427757
gpt.txt:152,001,0.31632
gpt.txt:152,002,0.255924
gpt.txt:187,017,1.0
gpt.txt:222,006,1.0
gpt.txt:257,003,1.0
gpt.txt:292,007,1.0
gpt.txt:327,000,1.0
gpt.txt:383,005,1.0
gpt.txt:418,003,1.0
gpt.txt:453,012,1.0
gpt.txt:488,001,1.0
gpt.txt:523,000,0.427757
gpt.txt:523,001,0.31632
gpt.txt:523,002,0.255924
gpt.txt:558,000,0.427757
gpt.txt:558,001,0.31632
gpt.txt:558,002,0.255924
gpt.txt:593,000,1.0
gpt.txt:628,005,1.0
gpt.txt:663,008,1.0
gpt.txt:698,000,0.427757
gpt.txt:698,001,0.31632
gpt.txt:698,002,0.255924
gpt.txt:0,000,1.0
gpt.txt:35,000,0.427757
gpt.txt:35,001,0.31632
gpt.txt:35,002,0.255924
gpt.txt:70,000,0.427757
gpt.txt:70,001,0.31632
gpt.txt:70,002,0.255924
gpt.txt:105,000,1.0
gpt.txt:140,000,1.0
gpt.txt:175,000,0.427757
gpt.txt:175,001,0.31632
gpt.txt:175,002,0.255924
gpt.txt:210,000,0.427757
gpt.txt:210,001,0.31632
gpt.txt:210,002,0.255924
gpt.txt:245,000,0.427757
gpt.txt:245,001,0.31632
gpt.txt:245,002,0.255924
gpt.txt:280,000,0.427757
gpt.txt:280,001,0.31632
gpt.txt:280,002,0.255924
gpt.txt:315,006,1.0
gpt.txt:350,003,1.0
gpt.txt:371,000,1.0
gpt.txt:406,021,1.0
gpt.txt:441,000,1.0
gpt.txt:476,000,0.427757
gpt.txt:476,001,0.31632
gpt.txt:476,002,0.255924
gpt.txt:511,000,0.427757
gpt.txt:511,001,0.31632
gpt.txt:511,002,0.255924
gpt.txt:546,000,0.427757
gpt.txt:546,001,0.31632
gpt.txt:546,002,0.255924
gpt.txt:581,000,0.427757
gpt.txt:581,001,0.31632
gpt.txt:581,002,0.255924
gpt.txt:616,001,1.0
gpt.txt:651,002,1.0
gpt.txt:686,000,0.427757
gpt.txt:686,001,0.31632
gpt.txt:686,002,0.255924
